18.0	8	307.0	130.0	3504.0	12.0	701	"chevroletchevellemalibu"
15.0	8	350.0	165.0	3693.0	11.5	701	"buickskylark320"
18.0	8	318.0	150.0	3436.0	11.0	701	"plymouthsatellite"
16.0	8	304.0	150.0	3433.0	12.0	701	"amcrebelsst"
17.0	8	302.0	140.0	3449.0	10.5	701	"fordtorino"
15.0	8	429.0	198.0	4341.0	10.0	701	"fordgalaxie500"
14.0	8	454.0	220.0	4354.0	9.0	701	"chevroletimpala"
14.0	8	440.0	215.0	4312.0	8.5	701	"plymouthfuryiii"
14.0	8	455.0	225.0	4425.0	10.0	701	"pontiaccatalina"
15.0	8	390.0	190.0	3850.0	8.5	701	"amcambassadordpl"
15.0	8	383.0	170.0	3563.0	10.0	701	"dodgechallengerse"
14.0	8	340.0	160.0	3609.0	8.0	701	"plymouth'cuda340"
15.0	8	400.0	150.0	3761.0	9.5	701	"chevroletmontecarlo"
14.0	8	455.0	225.0	3086.0	10.0	701	"buickestatewagon(sw)"
24.0	4	113.0	95.00	2372.0	15.0	703	"toyotacoronamarkii"
22.0	6	198.0	95.00	2833.0	15.5	701	"plymouthduster"
18.0	6	199.0	97.00	2774.0	15.5	701	"amchornet"
21.0	6	200.0	85.00	2587.0	16.0	701	"fordmaverick"
27.0	4	97.00	88.00	2130.0	14.5	703	"datsunpl510"
26.0	4	97.00	46.00	1835.0	20.5	702	"volkswagen1131deluxesedan"
25.0	4	110.0	87.00	2672.0	17.5	702	"peugeot504"
24.0	4	107.0	90.00	2430.0	14.5	702	"audi100ls"
25.0	4	104.0	95.00	2375.0	17.5	702	"saab99e"
26.0	4	121.0	113.0	2234.0	12.5	702	"bmw2002"
21.0	6	199.0	90.00	2648.0	15.0	701	"amcgremlin"
10.0	8	360.0	215.0	4615.0	14.0	701	"fordf250"
10.0	8	307.0	200.0	4376.0	15.0	701	"chevyc20"
11.0	8	318.0	210.0	4382.0	13.5	701	"dodged200"
9.0	8	304.0	193.0	4732.0	18.5	701	"hi1200d"
27.0	4	97.00	88.00	2130.0	14.5	713	"datsunpl510"
28.0	4	140.0	90.00	2264.0	15.5	711	"chevroletvega2300"
25.0	4	113.0	95.00	2228.0	14.0	713	"toyotacorona"
19.0	6	232.0	100.0	2634.0	13.0	711	"amcgremlin"
16.0	6	225.0	105.0	3439.0	15.5	711	"plymouthsatellitecustom"
17.0	6	250.0	100.0	3329.0	15.5	711	"chevroletchevellemalibu"
19.0	6	250.0	88.00	3302.0	15.5	711	"fordtorino500"
18.0	6	232.0	100.0	3288.0	15.5	711	"amcmatador"
14.0	8	350.0	165.0	4209.0	12.0	711	"chevroletimpala"
14.0	8	400.0	175.0	4464.0	11.5	711	"pontiaccatalinabrougham"
14.0	8	351.0	153.0	4154.0	13.5	711	"fordgalaxie500"
14.0	8	318.0	150.0	4096.0	13.0	711	"plymouthfuryiii"
12.0	8	383.0	180.0	4955.0	11.5	711	"dodgemonaco(sw)"
13.0	8	400.0	170.0	4746.0	12.0	711	"fordcountrysquire(sw)"
13.0	8	400.0	175.0	5140.0	12.0	711	"pontiacsafari(sw)"
18.0	6	258.0	110.0	2962.0	13.5	711	"amchornetsportabout(sw)"
22.0	4	140.0	72.00	2408.0	19.0	711	"chevroletvega(sw)"
19.0	6	250.0	100.0	3282.0	15.0	711	"pontiacfirebird"
18.0	6	250.0	88.00	3139.0	14.5	711	"fordmustang"
23.0	4	122.0	86.00	2220.0	14.0	711	"mercurycapri2000"
28.0	4	116.0	90.00	2123.0	14.0	712	"opel1900"
30.0	4	79.00	70.00	2074.0	19.5	712	"peugeot304"
30.0	4	88.00	76.00	2065.0	14.5	712	"fiat124b"
31.0	4	71.00	65.00	1773.0	19.0	713	"toyotacorolla1200"
35.0	4	72.00	69.00	1613.0	18.0	713	"datsun1200"
27.0	4	97.00	60.00	1834.0	19.0	712	"volkswagenmodel111"
26.0	4	91.00	70.00	1955.0	20.5	711	"plymouthcricket"
24.0	4	113.0	95.00	2278.0	15.5	723	"toyotacoronahardtop"
25.0	4	97.50	80.00	2126.0	17.0	721	"dodgecolthardtop"
23.0	4	97.00	54.00	2254.0	23.5	722	"volkswagentype3"
20.0	4	140.0	90.00	2408.0	19.5	721	"chevroletvega"
21.0	4	122.0	86.00	2226.0	16.5	721	"fordpintorunabout"
13.0	8	350.0	165.0	4274.0	12.0	721	"chevroletimpala"
14.0	8	400.0	175.0	4385.0	12.0	721	"pontiaccatalina"
15.0	8	318.0	150.0	4135.0	13.5	721	"plymouthfuryiii"
14.0	8	351.0	153.0	4129.0	13.0	721	"fordgalaxie500"
17.0	8	304.0	150.0	3672.0	11.5	721	"amcambassadorsst"
11.0	8	429.0	208.0	4633.0	11.0	721	"mercurymarquis"
13.0	8	350.0	155.0	4502.0	13.5	721	"buicklesabrecustom"
12.0	8	350.0	160.0	4456.0	13.5	721	"oldsmobiledelta88royale"
13.0	8	400.0	190.0	4422.0	12.5	721	"chryslernewportroyal"
19.0	3	70.00	97.00	2330.0	13.5	723	"mazdarx2coupe"
15.0	8	304.0	150.0	3892.0	12.5	721	"amcmatador(sw)"
13.0	8	307.0	130.0	4098.0	14.0	721	"chevroletchevelleconcours(sw)"
13.0	8	302.0	140.0	4294.0	16.0	721	"fordgrantorino(sw)"
14.0	8	318.0	150.0	4077.0	14.0	721	"plymouthsatellitecustom(sw)"
18.0	4	121.0	112.0	2933.0	14.5	722	"volvo145e(sw)"
22.0	4	121.0	76.00	2511.0	18.0	722	"volkswagen411(sw)"
21.0	4	120.0	87.00	2979.0	19.5	722	"peugeot504(sw)"
26.0	4	96.00	69.00	2189.0	18.0	722	"renault12(sw)"
22.0	4	122.0	86.00	2395.0	16.0	721	"fordpinto(sw)"
28.0	4	97.00	92.00	2288.0	17.0	723	"datsun510(sw)"
